time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
3.915,4.67247438,0,0.164741
3.92,4.6688866,0,0.164137
3.925,4.65812375,0,0.164741
3.93,4.67964994,0,0.164741
3.935,4.64377263,0,0.162023
3.94,4.64018485,0,0.164439
3.945,4.65812375,0,0.163231
3.95,4.67247438,0,0.163533
3.955,4.65094819,0,0.163382
3.96,4.65094819,0,0.162778
3.965,4.69041279,0,0.163382
3.97,4.6688866,0,0.163684
3.975,4.60072025,0,0.162929
3.98,4.66171104,0,0.163684
3.985,4.66529882,0,0.162627
3.99,4.63659707,0,0.161419
3.995,4.6688866,0,0.162325
4,4.64736041,0,0.162325
4.005,4.61507088,0,0.16308
4.01,4.65812375,0,0.162476
